Date,Price,Inventory
2002-09,,46.84
2002-08,,46.64
2002-07,,47.06
2002-06,,44.92
2002-05,,44.81
2002-04,,39.67
2002-03,,38.76
2002-02,,38.67
2002-01,,38.96
2001-12,,38.94
2001-11,,38.93
2001-10,,39.01
2001-09,,38.87
2001-08,,38.02
2001-07,,37.83
2001-06,,37.66
2001-05,,37.12
2001-04,,41
2001-03,,41
2001-02,,40.97
2001-01,,41.16
2000-12,,41.15
2000-11,,40.64
2000-10,,40.47
2000-09,,39.92
2000-08,,40.14
2000-07,,40.76
2000-06,,41.99
2000-05,,42.55
2000-04,,45.44
2000-03,,41.74
2000-02,,41.74
2000-01,,41.74
1999-12,,41.66
1999-11,,41.96
1999-10,,41.78
1999-09,,41.57
1999-08,,41.16
1999-07,,41.01
1999-06,,41.08
1999-05,,41.23
1999-04,,41.41
1999-03,,41.51
1999-02,,41.12
1999-01,,41.1
1998-12,,41.13
1998-11,,40.12
1998-10,,40.48
1998-09,,40.51
1998-08,,40.43
1998-07,,40.11
1998-06,,38.57
1998-05,,36.95
1998-04,,36.26
1998-03,,36.32
1998-02,,36.35
1998-01,,36.4
1997-12,,36.41
1997-11,,36.42
1997-10,,36.4
1997-09,,36.28
1997-08,,36.96
1997-07,,36.55
1997-06,,36.31
1997-05,,37.54
1997-04,,35.68
1997-03,,35.62
1997-02,,36.33
1997-01,,36.17
1996-12,,36.16
1996-11,,35.63
1996-10,,35.59
1996-09,,34.95
1996-08,,34.33
1996-07,,33.78
1996-06,,33.34
1996-05,,31.73
1996-04,,28.87
1996-03,,28.75
1996-02,,28.92
1996-01,,28.89
1995-12,,29.18
1995-11,,29.87
1995-10,,29.79
1995-09,,29.68
1995-08,,29.84
1995-07,,29.45
1995-06,,28.16
1995-05,,27.01
1995-04,,29.62
1995-03,,30.72
1995-02,,30.14
1995-01,,29.94
